raceId,year,round,circuitId,driverId,constructorId,grid,positionOrder
477,1982,11,34,209,32,24,12
477,1982,11,34,176,21,20,13
477,1982,11,34,172,27,16,14
477,1982,11,34,118,53,14,15
477,1982,11,34,158,27,19,16
477,1982,11,34,110,51,7,17
477,1982,11,34,137,34,6,18
477,1982,11,34,173,32,13,19
477,1982,11,34,187,1,12,20
477,1982,11,34,200,37,26,21
477,1982,11,34,184,21,25,22
477,1982,11,34,119,34,4,23
477,1982,11,34,194,54,22,24
477,1982,11,34,197,45,17,25
477,1982,11,34,170,53,21,26
477,1982,11,34,136,55,0,27
477,1982,11,34,195,57,0,28
477,1982,11,34,196,37,0,29
478,1982,12,10,175,6,5,1
478,1982,12,10,163,4,3,2
478,1982,12,10,177,3,9,3
478,1982,12,10,105,25,7,4
478,1982,12,10,152,51,11,5
478,1982,12,10,176,21,26,6
478,1982,12,10,205,25,17,7
478,1982,12,10,195,57,21,8
478,1982,12,10,95,32,18,9
478,1982,12,10,118,53,14,10
478,1982,12,10,192,56,25,11
478,1982,12,10,187,1,10,12
478,1982,12,10,172,27,15,13
478,1982,12,10,206,3,19,14
478,1982,12,10,196,37,24,15
478,1982,12,10,173,32,13,16
478,1982,12,10,137,34,4,17
478,1982,12,10,194,54,22,18
478,1982,12,10,117,4,2,19
478,1982,12,10,119,34,6,20
478,1982,12,10,110,51,8,21
478,1982,12,10,158,27,12,22
478,1982,12,10,184,21,23,23
478,1982,12,10,197,45,20,24
478,1982,12,10,181,54,16,25
478,1982,12,10,202,6,1,26
478,1982,12,10,210,55,0,27
478,1982,12,10,211,37,0,28
478,1982,12,10,170,53,0,29
479,1982,13,70,173,32,7,1
479,1982,13,70,177,3,6,2
479,1982,13,70,172,27,14,3
479,1982,13,70,175,6,4,4
479,1982,13,70,182,1,10,5
479,1982,13,70,184,21,23,6
479,1982,13,70,192,56,20,7
479,1982,13,70,117,4,3,8
479,1982,13,70,187,1,18,9
479,1982,13,70,205,25,19,10
479,1982,13,70,137,34,1,11
479,1982,13,70,210,55,26,12
479,1982,13,70,176,21,21,13
479,1982,13,70,119,34,2,14
479,1982,13,70,158,27,22,15
479,1982,13,70,95,32,12,16
479,1982,13,70,163,4,5,17
479,1982,13,70,181,54,25,18
479,1982,13,70,118,53,15,19
479,1982,13,70,170,53,17,20
479,1982,13,70,195,57,16,21
479,1982,13,70,105,25,8,22
479,1982,13,70,211,37,24,23
479,1982,13,70,206,3,9,24
479,1982,13,70,110,51,11,25
479,1982,13,70,152,51,13,26
479,1982,13,70,196,37,0,27
479,1982,13,70,197,45,0,28
479,1982,13,70,194,54,0,29
480,1982,14,41,177,3,8,1
480,1982,14,41,117,4,1,2
480,1982,14,41,182,1,4,3
480,1982,14,41,137,34,6,4
480,1982,14,41,119,34,3,5
480,1982,14,41,173,32,15,6
480,1982,14,41,105,25,12,7
480,1982,14,41,95,32,26,8
480,1982,14,41,206,3,7,9
480,1982,14,41,110,51,5,10
480,1982,14,41,205,25,18,11
480,1982,14,41,152,51,9,12
480,1982,14,41,187,1,11,13
480,1982,14,41,194,54,25,14
480,1982,14,41,176,21,14,15
480,1982,14,41,163,4,2,16
480,1982,14,41,158,27,16,17
480,1982,14,41,181,54,20,18
480,1982,14,41,197,45,17,19
480,1982,14,41,172,27,13,20
480,1982,14,41,170,53,23,21
480,1982,14,41,196,37,24,22
480,1982,14,41,211,37,22,23
480,1982,14,41,118,53,21,24
480,1982,14,41,195,57,19,25
480,1982,14,41,175,6,10,26
480,1982,14,41,192,56,0,27
480,1982,14,41,210,55,0,28
480,1982,14,41,184,21,0,29
481,1982,15,14,163,4,6,1
481,1982,15,14,175,6,3,2
481,1982,15,14,207,6,1,3
481,1982,15,14,187,1,12,4
481,1982,15,14,105,25,11,5
481,1982,15,14,158,27,14,6
481,1982,15,14,95,32,23,7
481,1982,15,14,177,3,7,8
481,1982,15,14,194,54,25,9
481,1982,15,14,110,51,9,10
481,1982,15,14,192,56,26,11
481,1982,15,14,184,21,24,12
481,1982,15,14,195,57,18,13
481,1982,15,14,173,32,17,14
481,1982,15,14,152,51,8,15
481,1982,15,14,176,21,19,16
481,1982,15,14,117,4,5,17
481,1982,15,14,182,1,10,18
481,1982,15,14,197,45,15,19
481,1982,15,14,137,34,2,20
481,1982,15,14,119,34,4,21
481,1982,15,14,172,27,21,22
481,1982,15,14,170,53,22,23
481,1982,15,14,206,3,13,24
481,1982,15,14,118,53,16,25
481,1982,15,14,205,25,20,26
481,1982,15,14,211,37,0,27
481,1982,15,14,181,54,0,28
481,1982,15,14,196,37,0,29
481,1982,15,14,210,55,0,30
482,1982,16,44,105,25,3,1
482,1982,16,44,187,1,9,2
482,1982,16,44,158,27,4,3
482,1982,16,44,117,4,1,4
482,1982,16,44,177,3,6,5
482,1982,16,44,206,3,14,6
482,1982,16,44,176,21,17,7
